id,ingested_at,gateway_id,device_timestamp,tag_mac,found,rssi
23,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:22+00,d4:f5:13:79:e4:5b,f,-127
24,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:22+00,7c:ec:79:44:e0:5f,f,-127
25,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:26+00,7c:ec:79:47:73:62,t,-40
26,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:26+00,d4:f5:13:79:e4:5b,f,-127
27,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:26+00,7c:ec:79:44:e0:5f,f,-127
28,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:30+00,7c:ec:79:47:73:62,t,-39
29,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:30+00,d4:f5:13:79:e4:5b,f,-127
30,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:30+00,7c:ec:79:44:e0:5f,f,-127
31,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:34+00,7c:ec:79:47:73:62,t,-40
32,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:34+00,d4:f5:13:79:e4:5b,f,-127
33,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:34+00,7c:ec:79:44:e0:5f,f,-127
34,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:38+00,7c:ec:79:47:73:62,t,-40
35,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:38+00,d4:f5:13:79:e4:5b,t,-75
36,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:38+00,7c:ec:79:44:e0:5f,f,-127
37,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:42+00,7c:ec:79:47:73:62,t,-38
38,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:42+00,d4:f5:13:79:e4:5b,t,-74
39,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:42+00,7c:ec:79:44:e0:5f,f,-127
40,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:46+00,7c:ec:79:47:73:62,t,-39
41,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:46+00,d4:f5:13:79:e4:5b,t,-74
42,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:46+00,7c:ec:79:44:e0:5f,f,-127
43,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:50+00,7c:ec:79:47:73:62,t,-42
44,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:50+00,d4:f5:13:79:e4:5b,t,-74
45,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:50+00,7c:ec:79:44:e0:5f,f,-127
46,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:54+00,7c:ec:79:47:73:62,t,-42
47,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:54+00,d4:f5:13:79:e4:5b,t,-75
48,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:54+00,7c:ec:79:44:e0:5f,f,-127
49,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:58+00,7c:ec:79:47:73:62,t,-43
50,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:58+00,d4:f5:13:79:e4:5b,t,-75
51,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:00:58+00,7c:ec:79:44:e0:5f,f,-127
52,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:01:02+00,7c:ec:79:47:73:62,t,-38
53,2026-06-01 14:03:03.950443+00,gw-esp32-01,2026-06-01 14:01:02+00,d4:f5:13:79:e4:5b,t,-75
54,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:02+00,7c:ec:79:44:e0:5f,f,-127
55,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:06+00,7c:ec:79:47:73:62,t,-34
56,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:06+00,d4:f5:13:79:e4:5b,t,-74
57,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:06+00,7c:ec:79:44:e0:5f,f,-127
58,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:10+00,7c:ec:79:47:73:62,t,-39
59,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:10+00,d4:f5:13:79:e4:5b,t,-73
60,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:10+00,7c:ec:79:44:e0:5f,f,-127
61,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:14+00,7c:ec:79:47:73:62,t,-39
62,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:14+00,d4:f5:13:79:e4:5b,t,-74
63,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:14+00,7c:ec:79:44:e0:5f,f,-127
64,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:18+00,7c:ec:79:47:73:62,t,-40
65,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:18+00,d4:f5:13:79:e4:5b,t,-75
66,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:18+00,7c:ec:79:44:e0:5f,f,-127
67,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:22+00,7c:ec:79:47:73:62,t,-40
68,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:22+00,d4:f5:13:79:e4:5b,t,-74
69,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:22+00,7c:ec:79:44:e0:5f,f,-127
70,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:26+00,7c:ec:79:47:73:62,t,-39
71,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:26+00,d4:f5:13:79:e4:5b,t,-75
72,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:26+00,7c:ec:79:44:e0:5f,f,-127
73,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:30+00,7c:ec:79:47:73:62,t,-40
74,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:30+00,d4:f5:13:79:e4:5b,t,-75
75,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:30+00,7c:ec:79:44:e0:5f,f,-127
76,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:34+00,7c:ec:79:47:73:62,t,-36
77,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:34+00,d4:f5:13:79:e4:5b,t,-75
78,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:34+00,7c:ec:79:44:e0:5f,f,-127
79,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:38+00,7c:ec:79:47:73:62,t,-36
80,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:38+00,d4:f5:13:79:e4:5b,t,-74
81,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:38+00,7c:ec:79:44:e0:5f,f,-127
82,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:42+00,7c:ec:79:47:73:62,t,-40
83,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:42+00,d4:f5:13:79:e4:5b,t,-73
84,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:42+00,7c:ec:79:44:e0:5f,f,-127
85,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:46+00,7c:ec:79:47:73:62,t,-40
86,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:46+00,d4:f5:13:79:e4:5b,t,-74
87,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:46+00,7c:ec:79:44:e0:5f,f,-127
88,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:50+00,7c:ec:79:47:73:62,t,-39
89,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:50+00,d4:f5:13:79:e4:5b,t,-73
90,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:50+00,7c:ec:79:44:e0:5f,f,-127
91,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:54+00,7c:ec:79:47:73:62,t,-40
92,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:54+00,d4:f5:13:79:e4:5b,t,-73
93,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:54+00,7c:ec:79:44:e0:5f,f,-127
94,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:58+00,7c:ec:79:47:73:62,t,-40
95,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:58+00,d4:f5:13:79:e4:5b,t,-74
96,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:01:58+00,7c:ec:79:44:e0:5f,f,-127
97,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:02:02+00,7c:ec:79:47:73:62,t,-39
98,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:02:02+00,d4:f5:13:79:e4:5b,t,-68
99,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:02:02+00,7c:ec:79:44:e0:5f,f,-127
100,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:02:06+00,7c:ec:79:47:73:62,t,-40
101,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:02:06+00,d4:f5:13:79:e4:5b,t,-70
102,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:02:06+00,7c:ec:79:44:e0:5f,f,-127
103,2026-06-01 14:03:04.540554+00,gw-esp32-01,2026-06-01 14:02:10+00,7c:ec:79:47:73:62,t,-40
104,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:10+00,d4:f5:13:79:e4:5b,t,-69
105,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:10+00,7c:ec:79:44:e0:5f,f,-127
106,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:14+00,7c:ec:79:47:73:62,t,-36
107,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:14+00,d4:f5:13:79:e4:5b,t,-69
108,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:14+00,7c:ec:79:44:e0:5f,f,-127
109,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:18+00,7c:ec:79:47:73:62,t,-35
110,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:18+00,d4:f5:13:79:e4:5b,t,-70
111,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:18+00,7c:ec:79:44:e0:5f,f,-127
112,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:22+00,7c:ec:79:47:73:62,t,-40
113,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:22+00,d4:f5:13:79:e4:5b,t,-72
114,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:22+00,7c:ec:79:44:e0:5f,f,-127
115,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:26+00,7c:ec:79:47:73:62,t,-35
116,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:26+00,d4:f5:13:79:e4:5b,t,-72
117,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:26+00,7c:ec:79:44:e0:5f,f,-127
118,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:30+00,7c:ec:79:47:73:62,t,-36
119,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:30+00,d4:f5:13:79:e4:5b,t,-69
120,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:30+00,7c:ec:79:44:e0:5f,f,-127
121,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:34+00,7c:ec:79:47:73:62,t,-35
122,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:34+00,d4:f5:13:79:e4:5b,t,-69
123,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:34+00,7c:ec:79:44:e0:5f,f,-127
124,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:38+00,7c:ec:79:47:73:62,t,-40
125,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:38+00,d4:f5:13:79:e4:5b,t,-69
126,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:38+00,7c:ec:79:44:e0:5f,f,-127
127,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:42+00,7c:ec:79:47:73:62,t,-40
128,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:42+00,d4:f5:13:79:e4:5b,t,-72
129,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:42+00,7c:ec:79:44:e0:5f,f,-127
130,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:46+00,7c:ec:79:47:73:62,t,-40
131,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:46+00,d4:f5:13:79:e4:5b,t,-71
132,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:46+00,7c:ec:79:44:e0:5f,f,-127
133,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:50+00,7c:ec:79:47:73:62,t,-39
134,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:50+00,d4:f5:13:79:e4:5b,t,-69
135,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:50+00,7c:ec:79:44:e0:5f,f,-127
136,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:54+00,7c:ec:79:47:73:62,t,-39
137,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:54+00,d4:f5:13:79:e4:5b,t,-68
138,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:54+00,7c:ec:79:44:e0:5f,f,-127
139,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:58+00,7c:ec:79:47:73:62,t,-40
140,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:58+00,d4:f5:13:79:e4:5b,t,-69
141,2026-06-01 14:03:05.128412+00,gw-esp32-01,2026-06-01 14:02:58+00,7c:ec:79:44:e0:5f,f,-127
142,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:13+00,7c:ec:79:47:73:62,t,-35
143,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:13+00,d4:f5:13:79:e4:5b,t,-69
144,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:13+00,7c:ec:79:44:e0:5f,f,-127
145,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:17+00,7c:ec:79:47:73:62,t,-35
146,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:17+00,d4:f5:13:79:e4:5b,t,-70
147,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:17+00,7c:ec:79:44:e0:5f,f,-127
148,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:21+00,7c:ec:79:47:73:62,t,-40
149,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:21+00,d4:f5:13:79:e4:5b,t,-71
150,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:21+00,7c:ec:79:44:e0:5f,f,-127
151,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:25+00,7c:ec:79:47:73:62,t,-40
152,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:25+00,d4:f5:13:79:e4:5b,t,-70
153,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:25+00,7c:ec:79:44:e0:5f,f,-127
154,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:29+00,7c:ec:79:47:73:62,t,-40
155,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:29+00,d4:f5:13:79:e4:5b,t,-72
156,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:29+00,7c:ec:79:44:e0:5f,f,-127
157,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:33+00,7c:ec:79:47:73:62,t,-39
158,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:33+00,d4:f5:13:79:e4:5b,t,-71
159,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:33+00,7c:ec:79:44:e0:5f,f,-127
160,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:37+00,7c:ec:79:47:73:62,t,-39
161,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:37+00,d4:f5:13:79:e4:5b,t,-71
162,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:37+00,7c:ec:79:44:e0:5f,f,-127
163,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:41+00,7c:ec:79:47:73:62,t,-40
164,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:41+00,d4:f5:13:79:e4:5b,t,-70
165,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:41+00,7c:ec:79:44:e0:5f,f,-127
166,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:45+00,7c:ec:79:47:73:62,t,-41
167,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:45+00,d4:f5:13:79:e4:5b,t,-72
168,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:45+00,7c:ec:79:44:e0:5f,f,-127
169,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:49+00,7c:ec:79:47:73:62,t,-39
170,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:49+00,d4:f5:13:79:e4:5b,t,-75
171,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:49+00,7c:ec:79:44:e0:5f,f,-127
172,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:53+00,7c:ec:79:47:73:62,t,-35
173,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:53+00,d4:f5:13:79:e4:5b,t,-72
174,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:53+00,7c:ec:79:44:e0:5f,f,-127
175,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:57+00,7c:ec:79:47:73:62,t,-39
176,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:57+00,d4:f5:13:79:e4:5b,t,-73
177,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:03:57+00,7c:ec:79:44:e0:5f,f,-127
178,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:04:01+00,7c:ec:79:47:73:62,t,-39
179,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:04:01+00,d4:f5:13:79:e4:5b,t,-76
180,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:04:01+00,7c:ec:79:44:e0:5f,f,-127
181,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:04:05+00,7c:ec:79:47:73:62,t,-39
182,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:04:05+00,d4:f5:13:79:e4:5b,t,-69
183,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:04:05+00,7c:ec:79:44:e0:5f,f,-127
184,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:04:09+00,7c:ec:79:47:73:62,t,-40
185,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:04:09+00,d4:f5:13:79:e4:5b,t,-71
186,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:04:09+00,7c:ec:79:44:e0:5f,f,-127
187,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:04:13+00,7c:ec:79:47:73:62,t,-40
188,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:04:13+00,d4:f5:13:79:e4:5b,t,-76
189,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:04:13+00,7c:ec:79:44:e0:5f,f,-127
190,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:04:17+00,7c:ec:79:47:73:62,t,-35
191,2026-06-01 14:06:18.966886+00,gw-esp32-01,2026-06-01 14:04:17+00,d4:f5:13:79:e4:5b,t,-75
192,2026-06-01 14:06:19.986396+00,gw-esp32-01,2026-06-01 14:04:17+00,7c:ec:79:44:e0:5f,f,-127
193,2026-06-01 14:06:19.986396+00,gw-esp32-01,2026-06-01 14:04:21+00,7c:ec:79:47:73:62,t,-39
194,2026-06-01 14:06:19.986396+00,gw-esp32-01,2026-06-01 14:04:21+00,d4:f5:13:79:e4:5b,t,-70
195,2026-06-01 14:06:19.986396+00,gw-esp32-01,2026-06-01 14:04:21+00,7c:ec:79:44:e0:5f,f,-127
196,2026-06-01 14:06:19.986396+00,gw-esp32-01,2026-06-01 14:04:25+00,7c:ec:79:47:73:62,t,-39
197,2026-06-01 14:06:19.986396+00,gw-esp32-01,2026-06-01 14:04:25+00,d4:f5:13:79:e4:5b,t,-69
198,2026-06-01 14:06:19.986396+00,gw-esp32-01,2026-06-01 14:04:25+00,7c:ec:79:44:e0:5f,f,-127
199,2026-06-01 14:06:19.986396+00,gw-esp32-01,2026-06-01 14:04:29+00,7c:ec:79:47:73:62,t,-39
200,2026-06-01 14:06:19.986396+00,gw-esp32-01,2026-06-01 14:04:29+00,d4:f5:13:79:e4:5b,t,-75
201,2026-06-01 14:06:19.986396+00,gw-esp32-01,2026-06-01 14:04:29+00,7c:ec:79:44:e0:5f,f,-127
202,2026-06-01 14:06:19.986396+00,gw-esp32-01,2026-06-01 14:04:33+00,7c:ec:79:47:73:62,t,-35
203,2026-06-01 14:06:19.986396+00,gw-esp32-01,2026-06-01 14:04:33+00,d4:f5:13:79:e4:5b,t,-70
204,2026-06-01 14:06:19.986396+00,gw-esp32-01,2026-06-01 14:04:33+00,7c:ec:79:44:e0:5f,f,-127
205,2026-06-01 14:06:19.986396+00,gw-esp32-01,2026-06-01 14:04:37+00,7c:ec:79:47:73:62,t,-35
206,2026-06-01 14:06:19.986396+00,gw-esp32-01,2026-06-01 14:04:37+00,d4:f5:13:79:e4:5b,t,-75
207,2026-06-01 14:06:19.986396+00,gw-esp32-01,2026-06-01 14:04:37+00,7c:ec:79:44:e0:5f,f,-127
208,2026-06-01 14:06:19.986396+00,gw-esp32-01,2026-06-01 14:04:41+00,7c:ec:79:47:73:62,t,-39
209,2026-06-01 14:06:19.986396+00,gw-esp32-01,2026-06-01 14:04:41+00,d4:f5:13:79:e4:5b,t,-75
210,2026-06-01 14:06:19.986396+00,gw-esp32-01,2026-06-01 14:04:41+00,7c:ec:79:44:e0:5f,f,-127
211,2026-06-01 14:06:19.986396+00,gw-esp32-01,2026-06-01 14:04:45+00,7c:ec:79:47:73:62,t,-39
212,2026-06-01 14:06:19.986396+00,gw-esp32-01,2026-06-01 14:04:45+00,d4:f5:13:79:e4:5b,t,-75
213,2026-06-01 14:06:19.986396+00,gw-esp32-01,2026-06-01 14:04:45+00,7c:ec:79:44:e0:5f,f,-127
214,2026-06-01 14:06:19.986396+00,gw-esp32-01,2026-06-01 14:04:49+00,7c:ec:79:47:73:62,t,-38
215,2026-06-01 14:06:19.986396+00,gw-esp32-01,2026-06-01 14:04:49+00,d4:f5:13:79:e4:5b,t,-75
216,2026-06-01 14:06:19.986396+00,gw-esp32-01,2026-06-01 14:04:49+00,7c:ec:79:44:e0:5f,f,-127
217,2026-06-01 14:06:19.986396+00,gw-esp32-01,2026-06-01 14:04:53+00,7c:ec:79:47:73:62,t,-39
218,2026-06-01 14:06:19.986396+00,gw-esp32-01,2026-06-01 14:04:53+00,d4:f5:13:79:e4:5b,t,-72
219,2026-06-01 14:06:19.986396+00,gw-esp32-01,2026-06-01 14:04:53+00,7c:ec:79:44:e0:5f,f,-127
